chamber_degree,treatment,name,day,time,week,subset,colony,chamber_id
,,,,,,,,
3,SHAM,R1C1SK_WED,WED,24,1,1,1,R1C1SK_15
3,SHAM,R1C1SK_THU,THU,48,1,1,1,R1C1SK_15
3,SHAM,R1C1SK_FRI,FRI,72,1,1,1,R1C1SK_15
4,SHAM,R1C1SK_MON,MON,144,1,1,1,R1C1SK_15
3,PATHOGEN,R1C2PM_TUE,TUE,0,1,2,1,R1C2PM_16
3,PATHOGEN,R1C2PM_TUE,TUE,0,1,2,1,R1C2PM_33
3,PATHOGEN,R1C2PM_TUE,TUE,0,1,2,1,R1C2PM_7
3,PATHOGEN,R1C2PM_TUE,TUE,0,1,2,1,R1C2PM_14
3,PATHOGEN,R1C2PM_WED,WED,24,1,2,1,R1C2PM_4
3,PATHOGEN,R1C2PM_WED,WED,24,1,2,1,R1C2PM_14
4,PATHOGEN,R1C2PM_THU,THU,48,1,2,1,R1C2PM_145
3,PATHOGEN,R1C2PM_THU,THU,48,1,2,1,R1C2PM_180
4,PATHOGEN,R1C2PM_FRI,FRI,72,1,2,1,R1C2PM_248
3,PATHOGEN,R1C2PM_FRI,FRI,72,1,2,1,R1C2PM_245
4,PATHOGEN,R1C2PM_FRI,FRI,72,1,2,1,R1C2PM_185
3,PATHOGEN,R1C2PM_FRI,FRI,72,1,2,1,R1C2PM_269
3,PATHOGEN,R1C2PM_FRI,FRI,72,1,2,1,R1C2PM_244
3,PATHOGEN,R1C2PM_FRI,FRI,72,1,2,1,R1C2PM_197
3,PATHOGEN,R1C2PM_FRI,FRI,72,1,2,1,R1C2PM_231
3,PATHOGEN,R1C2PM_FRI,FRI,72,1,2,1,R1C2PM_180
3,PATHOGEN,R1C2PM_MON,MON,144,1,2,1,R1C2PM_248
3,PATHOGEN,R1C2PM_MON,MON,144,1,2,1,R1C2PM_182
3,PATHOGEN,R1C2PM_MON,MON,144,1,2,1,R1C2PM_245
4,PATHOGEN,R1C2PM_MON,MON,144,1,2,1,R1C2PM_80
3,PATHOGEN,R1C2PM_MON,MON,144,1,2,1,R1C2PM_185
3,PATHOGEN,R1C2PM_MON,MON,144,1,2,1,R1C2PM_244
4,PATHOGEN,R1C2PM_MON,MON,144,1,2,1,R1C2PM_197
4,PATHOGEN,R1C2PM_MON,MON,144,1,2,1,R1C2PM_315
3,PATHOGEN,R1C2PM_MON,MON,144,1,2,1,R1C2PM_328
3,PATHOGEN,R1C2PM_MON,MON,144,1,2,1,R1C2PM_368
3,PATHOGEN,R1C2PM_MON,MON,144,1,2,1,R1C2PM_259
3,PATHOGEN,R1C2PM_MON,MON,144,1,2,1,R1C2PM_301
3,PATHOGEN,R1C2PM_MON,MON,144,1,2,1,R1C2PM_180
3,PATHOGEN,R1C2PM_MON,MON,144,1,2,1,R1C2PM_192
3,PATHOGEN,R1C2PM_MON,MON,144,1,2,1,R1C2PM_231
3,PATHOGEN,R1C2PM_MON,MON,144,1,2,1,R1C2PM_269
3,PATHOGEN,R1C2PM_MON,MON,144,1,2,1,R1C2PM_350
3,PATHOGEN,R1C2PM_MON,MON,144,1,2,1,R1C2PM_320
3,PATHOGEN,R1C2PM_MON,MON,144,1,2,1,R1C2PM_338
3,PATHOGEN,R2C1PK_WED,WED,24,2,3,1,R2C1PK_66
3,PATHOGEN,R2C1PK_WED,WED,24,2,3,1,R2C1PK_57
3,PATHOGEN,R2C1PK_WED,WED,24,2,3,1,R2C1PK_23
3,PATHOGEN,R2C1PK_WED,WED,24,2,3,1,R2C1PK_71
3,PATHOGEN,R2C1PK_WED,WED,24,2,3,1,R2C1PK_53
4,PATHOGEN,R2C1PK_THU,THU,48,2,3,1,R2C1PK_131
3,PATHOGEN,R2C1PK_THU,THU,48,2,3,1,R2C1PK_92
3,PATHOGEN,R2C1PK_THU,THU,48,2,3,1,R2C1PK_23
3,PATHOGEN,R2C1PK_THU,THU,48,2,3,1,R2C1PK_57
3,PATHOGEN,R2C1PK_THU,THU,48,2,3,1,R2C1PK_53
3,PATHOGEN,R2C1PK_THU,THU,48,2,3,1,R2C1PK_66
3,PATHOGEN,R2C1PK_THU,THU,48,2,3,1,R2C1PK_71
3,PATHOGEN,R2C1PK_FRI,FRI,72,2,3,1,R2C1PK_92
