"","week","subset","colony","replicate_id","treatment","week.","observer","light","video_number","unmarked_exits","marked_exits","total_exits","t2"
"14",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0024",3.8,"1",4,0
"15",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0025",8,"2",8.4,1
"16",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0027",9.2,"0",9.2,3
"17",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0029",9,"2",9.4,5
"18",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0031",6,"1",6.2,7
"19",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0033",6.8,"1",7,9
"20",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0035",8.2,"2",8.6,11
"21",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0037",8.8,"0",8.8,13
"22",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0039",8.6,"0",8.6,15
"23",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0041",11.6,"0",11.6,17
"24",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0043",10.4,"0",10.4,19
"25",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0045",8.2,"0",8.2,21
"26",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0047",1,"0",1,23
"27",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0049",2.8,"1",3,25
"28",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0051",7.2,"1",7.4,27
"29",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0053",9.6,"1",9.8,29
"30",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0055",7.2,"1",7.4,31
"31",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0057",7,"0",7,33
"32",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0059",4,"0",4,35
"33",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0061",3.4,"0",3.4,37
"34",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0063",4,"1",4.2,39
"35",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0065",5.2,"1",5.4,41
"36",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0067",6.2,"0",6.2,43
"37",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0069",4.6,"0",4.6,45
"38",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0071",2.4,"3",3,47
"39",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0074",4.8,"3",5.4,49
"40",1,1,1,"R1C2PM","pathogen",1,"1k","normal","Ants_0078",4.4,"1",4.6,51
"41",1,1,1,"R1C2PM","pathogen",1,"1k","infrared","Ants_0081",5.4,"0",5.4,53
"55",1,2,1,"R1C1SK","sham",1,"1m ","normal","Ants_0024",10,"1",10.2,0
"56",1,2,1,"R1C1SK","sham",1,"1m ","normal ","Ants_0025",27.4,"0",27.4,1
"57",1,2,1,"R1C1SK","sham",1,"1m ","normal ","Ants_0027",36.8,"1",37,3
"58",1,2,1,"R1C1SK","sham",1,"1m ","normal ","Ants_0029",38.4,"1",38.6,5
"59",1,2,1,"R1C1SK","sham",1,"1m ","normal ","Ants_0031",31,"0",31,7
"60",1,2,1,"R1C1SK","sham",1,"1m ","infrared","Ants_0033",28,"1",28.2,9
"61",1,2,1,"R1C1SK","sham",1,"1m ","infrared","Ants_0035",27.8,"0",27.8,11
"62",1,2,1,"R1C1SK","sham",1,"1m ","infrared ","Ants_0037",21.2,"0",21.2,13
"63",1,2,1,"R1C1SK","sham",1,"1m ","infrared","Ants_0039",20,"0",20,15
"64",1,2,1,"R1C1SK","sham",1,"1m ","infrared","Ants_0041",19.2,"0",19.2,17
"65",1,2,1,"R1C1SK","sham",1,"1m ","infrared","Ants_0043",17.8,"0",17.8,19
"66",1,2,1,"R1C1SK","sham",1,"1m ","normal ","Ants_0045",12,"1",12.2,21
"67",1,2,1,"R1C1SK","sham",1,"1m ","normal ","Ants_0047",0,"1",0.2,23
"68",1,2,1,"R1C1SK","sham",1,"1m ","normal ","Ants_0049",3.8,"3",4.4,25
"69",1,2,1,"R1C1SK","sham",1,"1m ","normal ","Ants_0051",9,"3",9.6,27
"70",1,2,1,"R1C1SK","sham",1,"1m ","normal","Ants_0053",10.2,"0",10.2,29
"71",1,2,1,"R1C1SK","sham",1,"1m ","normal","Ants_0055",7.4,"1",7.6,31
"72",1,2,1,"R1C1SK","sham",1,"1m ","normal","Ants_0057",9,"4",9.8,33
"73",1,2,1,"R1C1SK","sham",1,"1m ","infrared","Ants_0059",5.2,"3",5.8,35
"74",1,2,1,"R1C1SK","sham",1,"1m ","infrared ","Ants_0061",6.2,"2",6.6,37
"75",1,2,1,"R1C1SK","sham",1,"1m ","infrared ","Ants_0063",2.6,"0",2.6,39
"76",1,2,1,"R1C1SK","sham",1,"1m ","infrared","Ants_0065",3.8,"0",3.8,41
"77",1,2,1,"R1C1SK","sham",1,"1m ","infrared","Ants_0067",5.2,"3",5.8,43
"78",1,2,1,"R1C1SK","sham",1,"1m ","infrared","Ants_0069",5,"1",5.2,45
"79",1,2,1,"R1C1SK","sham",1,"1m ","normal","Ants_0071",3.6,"0",3.6,47
"80",1,2,1,"R1C1SK","sham",1,"1m ","normal","Ants_0074",4,"3",4.6,49
"81",1,2,1,"R1C1SK","sham",1,"1m ","normal ","Ants_0078",2.2,"3",2.8,51
"82",1,2,1,"R1C1SK","sham",1,"1m ","normal","Ants_0081",3.8,"0",3.8,53
"96",2,3,1,"R2C2SM","sham",2,"2k","normal","Ants_0025",10.4,"0",10.4,0
"97",2,3,1,"R2C2SM","sham",2,"2k","normal","Ants_0026",12,"0",12,1
"98",2,3,1,"R2C2SM","sham",2,"2k","normal","Ants_0047",5.2,"0",5.2,23
"99",2,3,1,"R2C2SM","sham",2,"2k","normal","Ants_0049",9,"0",9,25
"100",2,3,1,"R2C2SM","sham",2,"2k","normal","Ants_0051",7.4,"1",7.6,27
"101",2,3,1,"R2C2SM","sham",2,"2k","normal","Ants_0053",7.2,"1",7.4,29
"102",2,3,1,"R2C2SM","sham",2,"2k","normal","Ants_0055",3.8,"1",4,31
"103",2,3,1,"R2C2SM","sham",2,"2k","infrared","Ants_0057",8.2,"0",8.2,33
"104",2,3,1,"R2C2SM","sham",2,"2k","infrared","Ants_0059",8,"0",8,35
"105",2,3,1,"R2C2SM","sham",2,"2k","infrared","Ants_0061",6.4,"0",6.4,37
"106",2,3,1,"R2C2SM","sham",2,"2k","infrared","Ants_0063",9,"0",9,39
"107",2,3,1,"R2C2SM","sham",2,"2k","infrared","Ants_0065",9.8,"0",9.8,41
"108",2,3,1,"R2C2SM","sham",2,"2k","infrared","Ants_0067",4.6,"0",4.6,43
"109",2,3,1,"R2C2SM","sham",2,"2k","normal","Ants_0069",4,"0",4,45
"110",2,3,1,"R2C2SM","sham",2,"2k","normal","Ants_0071",3.8,"1",4,47
